text,sentiment,set,prediction,prob_pos,prob_neg,certainty
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,train,positive,0.9998231530189514,0.00017683245823718607,0.9996463205607142
The acquisition of +_landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,negative,train,negative,0.036970000714063644,0.9630300402641296,0.926060039550066
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",positive,train,positive,0.9973879456520081,0.0026121223345398903,0.9947758233174682
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,negative,train,negative,0.019232705235481262,0.9807673692703247,0.9615346640348434
The company intends to raise production capacity in 2006 .,positive,train,positive,0.9989423155784607,0.001057755551300943,0.9978845600271598
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",positive,train,positive,0.9947060942649841,0.005293979775160551,0.9894121144898236
"'' The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive,train,positive,0.998961329460144,0.0010386676294729114,0.9979226618306711
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,test,positive,0.9982064962387085,0.0017934991046786308,0.9964129971340299
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative,train,negative,0.1669362336397171,0.8330637812614441,0.666127547621727
Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,positive,train,positive,0.7776098251342773,0.22239023447036743,0.5552195906639099
"The most loyal customers were found in the Bank of +_land , with an index of 8.0 .",positive,test,positive,0.7278019189834595,0.27219802141189575,0.4556038975715637
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,train,positive,0.9548095464706421,0.045190420001745224,0.9096191264688969
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,test,positive,0.6124324798583984,0.38756754994392395,0.2248649299144745
"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",positive,test,positive,0.9993177652359009,0.0006822222494520247,0.9986355429864489
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier .",positive,test,positive,0.983775794506073,0.016224227845668793,0.9675515666604042
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative,train,negative,0.03625716269016266,0.9637429118156433,0.9274857491254807
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,positive,test,positive,0.9996942281723022,0.00030581478495150805,0.9993884133873507
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,negative,train,negative,0.002808213699609041,0.997191846370697,0.994383632671088
"In Middle East North Africa , Tecnotree has grown considerably in the recent years .",positive,train,positive,0.9962072372436523,0.0037927564699202776,0.9924144807737321
