text,lemmas,ngrams,named_ents,sentiment
European traffic grew nearly 30 % .,"['european', 'traffic', 'grow', 'nearly']",['european_traffic'],[],positive
Singapore in May 2011 1 July 2010 Finnish air carrier Finnair Oyj ( HEL FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .,"['finnish', 'air', 'carrier', 'say', 'today', 'open', 'daily', 'route', 'growth', 'strategy']","['finnish_air', 'finnish_air_carrier', 'say_today', 'daily_route']","['Singapore/GPE', 'Singapore/GPE']",positive
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .","['control', 'finnish', 'brewery', 'achieve', 'percent', 'rise', 'beer', 'sale', 'liter', 'hold', 'percent', 'market', 'share']",['finnish_brewery'],[],positive
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,"['net', 'profit', 'second', 'quarter', 'jump', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln', 'year', 'ago']","['net_profit', 'second_quarter']",[],positive
"In addition , the production at the Varpaisj+_ rvi factory will be stopped at the beginning of April 2009 .","['addition', 'production', 'factory', 'stop', 'beginning']",[],[],negative
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .","['quarter', 'net', 'sale', 'increase', 'year', 'year', 'm', 'comparable', 'currency', 'rate', 'growth']","['third_quarter', 'net_sale', 'comparable_currency', 'comparable_currency_rate', 'comparable_currency_rate_growth']",[],positive
"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market .","['strong', 'track', 'record', 'low', 'end', 'handset', 'market', 'say', 'touch', 'screen', 'offering', 'come', 'year', 'cheap', 'rival', 'model', 'order', 'tap', 'high', 'volume', 'market']","['strong_track', 'strong_track_record', 'rival_model']",[],positive
"Lassila Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .","['operating', 'profit', 'exclude', 'non', 'recurring', 'impute', 'item', 'second', 'quarter', 'm', 'm', 'year', 'ago']","['impute_item', 'second_quarter']",[],negative
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","['paper', 'company', 'negative', 'territory', 'shed', 'pct', 'eur', 'pct', 'eur', 'pct', 'low', 'eur']",['negative_territory'],['Stora_Enso_R/PERSON'],negative
"( ADP News ) Jan 22 , 2009 Finnish mobile phones maker Nokia Oyj ( OMX NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .","['finnish', 'mobile', 'phone', 'maker', 'say', 'today', 'operating', 'profit', 'decrease', 'bn']","['mobile_phone', 'mobile_phone_maker', 'say_today']",[],negative
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,"['finnish', 'shipping', 'company', 'subsidy', 'need', 'order', 'new', 'fuel', 'vessel']","['finnish_shipping', 'finnish_shipping_company', 'fuel_vessel']",[],positive
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .","['total', 'mn', 'passenger', 'ship', 'journey', 'take', 'place', 'northern', 'slightly', 'mn']",['take_place'],[],negative
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,"['expect', 'net', 'sale', 'increase', 'level', 'reach']",['net_sale'],[],positive
"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .","['say', 'plan', 'expand', 'recycled', 'furniture', 'business']","['say_plan', 'recycled_furniture', 'recycled_furniture_business']",['Finland/GPE'],positive
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"['sell', 'stake', 'company', 'say', 'sign', 'agreement', 'sell', 'share']",['sell_stake'],[],positive
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","['subdivision', 'sale', 'revenue', 'year', 'operating', 'profit']","['make_sale', 'make_sale_revenue', 'last_year']",[],positive
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .","['operate', 'profit', 'total', 'year', 'early']",['operate_profit'],[],negative
"There has been some recovery of the base metals prices and increased demand for metals in China , however .","['recovery', 'base', 'metal', 'price', 'increase', 'demand', 'metal']",['increase_demand'],['China/GPE'],positive
The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,"['annual', 'thesis', 'contest', 'aim', 'enhance', 'thesis', 'quality', 'strengthen', 'thesis', 'culture', 'polytechnic']","['annual_thesis', 'annual_thesis_contest']",[],positive
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .","['result', 'burden', 'increase', 'fix', 'cost', 'associate', 'operation', 'restructure', 'cost']","['fix_cost', 'restructure_cost']","['China/GPE', 'Japan/GPE']",negative
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .","['finnish', 'management', 'software', 'solution', 'provider', 'net', 'profit', 'decrease', 'euro', 'quarter', 'euro', 'mln', 'period']","['finnish_management', 'finnish_management_software', 'finnish_management_software_solution', 'finnish_management_software_solution_provider', 'net_profit', 'first_quarter', 'same_period']",['Ixonos_Oyj/PERSON'],negative
Finnish waste management and cleaning group Lassila Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,"['finnish', 'waste', 'management', 'cleaning', 'group', 'net', 'profit', 'go', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']","['finnish_waste', 'finnish_waste_management', 'net_profit']",['Lassila_Tikanoja/PERSON'],negative
"In the Baltic countries , sales fell by 42.6 % .","['baltic', 'country', 'sale', 'fall']",['baltic_country'],[],negative
"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .","['paper', 'stock', 'big', 'faller', 'pct', 'eur', 'real', 'pct', 'eur', 'pct', 'low', 'eur']",['big_faller'],['Stora_Enso/PERSON'],negative
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,"['comparable', 'operating', 'profit', 'decrease', 'corresponding', 'period']","['comparable_operating', 'comparable_operating_profit', 'corresponding_period']",[],negative
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .","['second', 'quarter', 'net', 'loss', 'narrow', 'period']","['second_quarter', 'net_loss', 'same_period']",['Raute/PERSON'],positive
Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,"['finnish', 'industrial', 'group', 'bring', 'counter', 'action', 'finnish', 'metal', 'company', 'dispute', 'concern', 'name', 'company']","['industrial_group', 'counter_action', 'finnish_metal', 'finnish_metal_company']",[],negative
The acquisition is expected to improve access to chrome ore resources in Turkey .,"['acquisition', 'expect', 'improve', 'access', 'chrome', 'ore', 'resource']",['improve_access'],['Turkey/GPE'],positive
"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham .","['driver', 'leave', 'car', 'suspect', 'kidnap', 'force', 'gunpoint', 'drive']",[],['Durham/GPE'],negative
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .","['operate', 'loss', 'non', 'recurring', 'item', 'compare', 'profit']","['operate_loss', 'recurring_item']",[],negative
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'sale', 'month', 'period', 'increase', 'respectively', 'm', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'corresponding_period']",[],positive
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,"['finnish', 'cutlery', 'hand', 'tool', 'maker', 'say', 'today', 'net', 'profit', 'rise', 'usd', 'm', 'quarter', 'year', 'early']","['finnish_cutlery', 'say_today', 'net_profit', 'third_quarter']",[],positive
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,"['expense', 'ratio', 'compare', 'corresponding', 'period']",['corresponding_period'],[],negative
"In this case , the effect would be negative in Finland .","['case', 'effect', 'negative']",[],['Finland/GPE'],negative
